#ID RA          DEC
323 068.5158750 -13.4631194
324 068.5195833 -13.0342417
325 068.5301250 -13.4431833
326 068.5301667 -13.2539861
327 068.5324583 -13.6002639
328 068.5375833 -13.2804361
329 068.5391667 -13.5724056
330 068.5405417 -13.0057250
331 068.5414167 -13.2430750
332 068.5415833 -12.8615194
333 068.5433750 -13.3701861
334 068.5540833 -12.8555528
335 068.5543750 -13.1678028
336 068.5583750 -13.4926917
337 068.5631667 -13.4180528
338 068.5640833 -13.1400000
339 068.5674167 -13.7169750
340 068.5786250 -13.4064556
341 068.5819167 -12.7995194
342 068.5873750 -12.9921222
343 068.5888750 -13.3542806
344 068.5894167 -13.4153944
345 068.5894167 -13.5856750
346 068.5922083 -13.3032083
347 068.5997500 -13.2584944
348 068.6054583 -13.4592417
349 068.6109167 -13.4056056
350 068.6298750 -12.9523083
351 068.6370417 -13.0306056
352 068.6380417 -12.4433417
353 068.6390000 -13.0614472
354 068.6488333 -13.3554028
355 068.6564167 -13.2097944
356 068.6624583 -13.6451028
357 068.6720833 -13.5414694
358 068.6805000 -12.4988889
359 068.6831667 -13.0374722
360 068.6852083 -13.0859472
361 068.6897917 -13.0963639
362 068.6900000 -12.7120056
363 068.6944583 -13.4844806
364 068.6978333 -12.2146028
365 068.7007083 -13.5670111
366 068.7025417 -13.4309833
367 068.7057917 -13.8128694
368 068.7072083 -12.7823556
369 068.7085000 -13.1891528
370 068.7157083 -12.3657194
371 068.7252083 -13.1292694
372 068.7320833 -13.1910361
373 068.7436667 -12.1836194
374 068.7498333 -12.4695083
375 068.7595417 -12.1178194
376 068.7622083 -12.8975583
377 068.7626250 -12.9017278
378 068.7648333 -13.6556333
379 068.7732500 -13.4706694
380 068.7743333 -13.1815167
381 068.7785833 -13.3940278
382 068.7847083 -13.2949361
383 068.7860833 -13.3101694
384 068.7955000 -13.3336639
385 068.7956250 -13.7552194
386 068.7959583 -13.2441028
387 068.8160833 -13.8322556
388 068.8188333 -13.3855083
389 068.8197917 -13.0705639
390 068.8248333 -13.0457889
391 068.8317500 -13.8612167
392 068.8496667 -13.7712972
393 068.8548333 -12.4282417
394 068.8597083 -13.2404444
395 068.8850000 -13.5562611
396 068.8883750 -12.9282833
397 068.8892083 -13.4485972
398 068.9093333 -13.2231889
399 068.9262500 -12.0441306
400 068.9481250 -12.5022778
401 068.9529583 -13.4086278
402 068.9667500 -13.3297722
403 068.9725417 -13.5960167
404 068.9738750 -13.2768028
405 068.9791250 -12.0726500
406 068.9867500 -13.3301417
407 069.0104167 -13.8675806
408 069.0169583 -13.7258806
409 069.0365417 -13.7126972
410 069.0577083 -13.0992028
411 069.0677083 -13.0422083
412 069.0832083 -12.3698833
413 069.0839583 -12.4979389
414 069.0934583 -12.7070528
415 069.1110417 -12.4850889
416 069.1189167 -13.1510389
417 069.1239583 -13.0660944
418 069.1248750 -12.3087611
419 069.1640833 -12.2495806
420 069.1892500 -12.8887556
421 069.2009583 -13.2586583
422 069.2027917 -12.2850944
423 069.2044167 -13.0003278
424 069.2192500 -13.2858083
425 069.2485833 -12.9482639
426 069.3037500 -13.0100500
427 069.3361667 -13.6117778
428 069.3361667 -13.6840833
429 069.3395833 -13.4545306
430 069.3588750 -12.7364583
431 069.3643333 -13.1420972
432 069.3645417 -12.1031833
433 069.3970833 -13.4357806
434 069.4580000 -13.2872250
435 069.4680417 -12.7182778
436 069.4779167 -13.4477056
437 069.4877500 -12.9918500
438 069.5060417 -12.4490694
439 069.5167917 -13.2204750
440 069.5201667 -12.5771583
441 069.5257083 -12.8842278
442 069.5449583 -12.0537222
443 069.5644583 -12.8374139
444 069.5821667 -13.2670889
445 069.5849583 -13.5288111
446 069.6186250 -12.3240000
447 069.6187500 -14.4106250
448 069.6198750 -12.2845278
449 069.6456667 -12.9212556
450 069.6538333 -13.2922611
451 069.6810833 -12.3500222
452 069.6997500 -13.1382556
453 069.7019583 -13.6685333
454 069.7292917 -13.1713806
455 069.7398333 -12.9802722
456 069.7415833 -13.6132750
457 069.7482500 -12.7675556
458 069.7885417 -12.5227861
459 069.7904167 -13.4390472
460 069.8003750 -11.9956222
461 069.8095417 -13.5060556
462 069.8114583 -12.9895028
463 069.8997500 -12.5491028
464 069.9180000 -13.2503306
465 069.9218750 -12.4469722
466 070.7458333 -12.7707500
